id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
59068,sabrahmacārī,sabrahmacārīhi,MN 48 (simpl),unknown,bhikkhu <b>sabrahmacārīhi</b> saddhiṃ bhogī hoti,The monk is partaking together with (his) fellow monks.
60048,samudda,,,,,
61086,sarīra 1,sarīraṃ,DN 16.27 (simpl),unknown,pupphā tathāgatassa <b>sarīraṃ</b> okiranti,Flowers are sprinkled on the dead body of the Tathāgata.
61362,saha 1.2,saha,SN 56.35 (simpl),unknown,"ahaṃ <b>saha</b> eva sukhena, saha eva somanassena catunnaṃ ariyasaccānaṃ abhisamayaṃ vadāmi.",I say clear comprehension of the four Noble Truths [is] accompanied only by happiness and only by mental ease.
61676,saṃyoga 2,saṃyogāya,AN 8.53,unknown,"ime dhammā <b>saṃyogāya</b> saṃvattanti, no visaṃyogāya.","These things lead to attachment, not to detachment."
62712,sikkhati 2,sikkhati,MN 118 (simpl),unknown,pītiṃ paṭisaṃvedī assasissāmi iti <b>sikkhati</b>.,One trains thus: “I will breathe in experiencing delight.”
63641,suggati,suggatiṃ,TH 195,unknown,adhammo nirayaṃ neti dhammo pāpeti <b>suggatiṃ</b>,"False teaching leads to no good fortune, the Teaching leads to a good destination."
65135,soci,soci,DN 16.32,unknown,alaṃ ānanda mā <b>soci</b> mā paridevi,"Stop Ānanda, don’t cry, don’t lament!"
65333,sobhati 2,sobhati,MN 82,unknown,"aṭṭhi tacena onaddhaṃ, saha vatthebhi <b>sobhati</b>.",A bone covered with skin; it looks beautiful with clothes.
65360,somanassa,somanassena,SN 56.35 (simpl),unknown,"ahaṃ saha eva sukhena, saha eva <b>somanassena</b> catunnaṃ ariyasaccānaṃ abhisamayaṃ vadāmi.",I say clear comprehension of the four Noble Truths [is] accompanied only by happiness and only by mental ease.
66053,vattha 1.1,,,,,
66444,vasa 1.2,vasaṃ,AN 7.23,unknown,bhikkhū uppannāya taṇhāya na <b>vasaṃ</b> gacchissanti,The monks will not submit to the power of arisen craving.
66480,vasaṃ gacchati,vasaṃ gacchissanti,AN 7.23,unknown,bhikkhū uppannāya taṇhāya na <b>vasaṃ gacchissanti</b>,The monks will not submit to the power of arisen craving.
66809,vādī 1,,,,,
68472,vippaṭisārī,vippaṭisārino,MN 19 (simpl),unknown,"jhāyatha, bhikkhave, mā pamādaṃ attha, mā pacchā <b>vippaṭisārino</b> ahuvattha. ayaṃ vo amhākaṃ anusāsanī","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you."
68643,vibhūsana,vibhūsanāya,MN 2.4,unknown,"neva davāya, na madāya, na maṇḍanāya, na <b>vibhūsanāya</b>","Neither for fun, nor for intoxication, nor for adornment, nor for physical appearance."
69209,visaṃyoga 1,visaṃyogāya,AN 8.53,unknown,"ime dhammā saṃyogāya saṃvattanti, no <b>visaṃyogāya</b>.","These things lead to attachment, not to detachment."
70328,vedeti 1,vedeti,MN 74,unknown,"n'eva tasmiṃ samaye dukkhaṃ vedanaṃ <b>vedeti</b>, na adukkham’asukhaṃ vedanaṃ vedeti","At that time, he feels neither an unpleasant sensation nor a neutral sensation."
70561,vo 1.2,vo,SN 22.33,unknown,taṃ <b>vo</b> pahīnaṃ hitāya sukhāya bhavissati,"[When] that is given up by you, it will be beneficial and comfortable [for you]."
70562,vo 1.3,vo,SN 22.33,unknown,taṃ <b>vo</b> pahīnaṃ hitāya sukhāya bhavissati,"[When] that is given up by you, it will be beneficial and comfortable [for you]."
70563,vo 1.4,vo,SN 22.33,unknown,taṃ <b>vo</b> pahīnaṃ hitāya sukhāya bhavissati,"[When] that is given up by you, it will be beneficial and comfortable [for you]."
71212,hi 1,,,,,
71224,hita 3,hitāya,SN 22.33,unknown,taṃ vo pahīnaṃ <b>hitāya</b> sukhāya bhavissati,"[When] that is given up by you, it will be beneficial and comfortable [for you]."
71489,hotu 1,hotu,SN 22.59,unknown,evaṃ me rūpaṃ <b>hotu</b>! evaṃ me rūpaṃ mā ahosi!,"Let my body be thus, let my body not be thus."
