id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation,explanation
56770,saṅkhāra 3,saṅkhāra-nirodho,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā <b>saṅkhāra-nirodho</b>, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
56989,saṅgha 1,saṅgho,VIN PAT NID nidānuddeso,unknown,"Pali: <b>saṅgho</b> uposathaṃ kareyya, pātimokkhaṃ uddiseyya",The community of monks could make an observance day [and] would recite the training rules.,
57194,sacchikiriyā,sacchikiriyāya,DN 22.1 (simpl),unknown,"maggo hoti sokaparidevānaṃ samatikkamāya, ñāyassa adhigamāya, nibbānassa <b>sacchikiriyāya</b>.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
57894,satthā,satthā,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi <b>satthā</b> devamanussānaṃ buddho bhagavā'ti,"It is so (thus) 'He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.'",
59177,samaṇa 1,samaṇo,AN 10.29,unknown,Pali: <b>samaṇo</b> gotamo,The recluse Gotama,
59264,samatikkama,samatikkamāya,DN 22.1 (simpl),unknown,"maggo hoti sokaparidevānaṃ <b>samatikkamāya</b>, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
59451,samaya 1.1,,,,,,
60590,sambuddha 1,sammāsambuddho,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ <b>sammāsambuddho</b> vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
60788,sammā 1,sammāsambuddho,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ <b>sammāsambuddho</b> vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
60847,sammāsambuddha,sammāsambuddho,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ <b>sammāsambuddho</b> vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
61469,sahāya,,,,,,
61506,saḷāyatana 1,saḷāyatana,SN 10.8,unknown,"Pali: avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā <b>saḷāyatana</b>-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases, from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
62632,sāvaka,sāvake,SN 19.21,unknown,Gotama <b>sāvake</b> … Gotama’s [instruction presented] to disciples,Gotama [trains] disciples…. Gotama’s [instruction presented] to disciples,
63313,sīha 1,,,,,,
63609,sugata 2,sugato,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno <b>sugato</b> lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
64800,sekha 1,sekhassa,AN 8.79,unknown,dhammā <b>sekhassa</b>,qualities of a trainee,
65088,soka,soka,DN 22.1 (simpl),unknown,"maggo hoti <b>soka</b>paridevānaṃ samatikkamāya, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
65095,sokaparideva,sokaparidevānaṃ,DN 22.1 (simpl),unknown,"maggo hoti <b>sokaparidevānaṃ</b> samatikkamāya, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
67631,vijjācaraṇasampanna,vijjācaraṇasampanno,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ sammāsambuddho <b>vijjācaraṇasampanno</b> sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
67692,viññāṇa 1,viññāṇa,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā <b>viññāṇa</b>-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
68086,vinaya 1,,,,,,
68182,vinipāta,vinipātaṃ,SN 12.41,unknown,"[reborn] in a state of suffering, in <b>vinipātaṃ</b> nirayaṃ.","[reborn] in a state of suffering, in hell.",
68871,virāga 1.1,virāga,,,,,
68872,virāga 2.1,virāgāya,SN 22.57,unknown,"Pali: <b>virāgāya</b> nirodhāya English Translation: for dispassion, for cessation","for dispassion, for cessation",
69329,visesa 1,viseso,AN 10.48,unknown,uttarissa manussassa dhammo alam’ariyo ñāṇadassanassa <b>viseso</b>,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person",
70132,vūpasama 1,,,,,,
70238,vedanā 1,vedanā,SN 10.8,unknown,"phassa-nirodhā <b>vedanā</b>-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
70807,hattha 1,hatthena,VIN PAT SE 55 (simpl),unknown,I will not take a cup for drinking water with a soiled <b>hatthena</b>.,I will not take a cup for drinking water with a soiled hand.,
74544,adhigama 2,adhigamāya,DN 22.1 (simpl),unknown,"maggo hoti sokaparidevānaṃ samatikkamāya, ñāyassa <b>adhigamāya</b>, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
76068,ābādha 2,,,,,,
